age,workclass,fnlwgt,education,education_num,marital_status,occupation,relationship,race,sex,capital_gain,capital_loss,hours_per_week,native_country,income
22,6,311512,13,10,1,3,3,5,2,0,0,15,1,1
48,1,242406,7,7,3,8,6,1,2,0,0,40,4,1
21,1,197200,13,10,3,8,2,1,2,0,0,40,1,1
19,1,544091,9,9,7,9,1,1,1,0,0,25,1,1
31,1,84154,13,10,1,4,3,1,2,0,0,38,42,0
48,2,265477,11,12,1,6,3,1,2,0,0,40,1,1
31,1,507875,5,5,1,8,3,1,2,0,0,43,1,1
53,2,88506,14,13,1,6,3,1,2,0,0,40,1,1
24,1,172987,14,13,1,1,3,1,2,0,0,50,1,1
49,1,94638,9,9,4,9,6,1,1,0,0,40,1,1
25,1,289980,9,9,3,7,4,1,2,0,0,35,1,1
57,4,337895,14,13,1,6,3,5,2,0,0,40,1,0
53,1,144361,9,9,1,8,3,1,2,0,0,38,1,1
44,1,128354,15,14,2,5,6,1,1,0,0,40,1,1
41,6,101603,12,11,1,2,3,1,2,0,0,40,1,1
29,1,271466,12,11,3,6,4,1,2,0,0,43,1,1
25,1,32275,13,10,1,5,1,4,1,0,0,40,1,1
18,1,226956,9,9,3,3,2,1,1,0,0,30,42,1
47,1,51835,10,15,1,6,1,1,1,0,1902,60,15,0
50,4,251585,14,13,2,5,4,1,2,0,0,55,1,0
47,3,109832,9,9,2,5,4,1,2,0,0,60,1,1
43,1,237993,13,10,1,1,3,1,2,0,0,40,1,0
46,1,216666,3,3,1,8,3,1,2,0,0,40,21,1
35,1,56352,12,11,1,3,3,1,2,0,0,40,4,1
41,1,147372,9,9,1,9,3,1,2,0,0,48,1,1
30,1,188146,9,9,1,8,3,1,2,5013,0,40,1,1
30,1,59496,14,13,1,4,3,1,2,2407,0,40,1,1
32,9,293936,4,4,6,15,4,1,2,0,0,40,42,1
48,1,149640,9,9,1,11,3,1,2,0,0,40,1,1
42,1,116632,16,16,1,6,3,1,2,0,0,45,1,0
29,1,105598,13,10,2,1,4,1,2,0,0,58,1,1
36,1,155537,9,9,1,2,3,1,2,0,0,40,1,1
28,1,183175,13,10,2,9,4,1,1,0,0,40,1,1
53,1,169846,9,9,1,9,1,1,1,0,0,40,1,0
49,3,191681,13,10,1,5,3,1,2,0,0,50,1,0
25,9,200681,13,10,3,15,2,1,2,0,0,40,1,1
19,1,101509,13,10,3,6,2,1,2,0,0,32,1,1
31,1,309974,14,13,4,4,2,5,1,0,0,40,1,1
29,2,162298,14,13,1,4,3,1,2,0,0,70,1,0
23,1,211678,13,10,3,8,4,1,2,0,0,40,1,1
79,1,124744,13,10,1,6,5,1,2,0,0,20,1,1
27,1,213921,9,9,3,3,2,1,2,0,0,40,21,1
40,1,32214,11,12,1,9,3,1,2,0,0,40,1,1
67,9,212759,6,6,1,15,3,1,2,0,0,2,1,1
18,1,309634,7,7,3,3,2,1,1,0,0,22,1,1
31,5,125927,4,4,1,10,3,1,2,0,0,40,1,1
18,1,446839,9,9,3,4,4,1,2,0,0,30,1,1
52,1,276515,14,13,1,3,3,1,2,0,0,40,13,1
46,1,51618,9,9,1,3,1,1,1,0,0,40,1,1
59,1,159937,9,9,1,4,3,1,2,0,0,48,1,1
44,1,343591,9,9,2,2,4,1,1,14344,0,40,1,0
53,1,346253,9,9,2,4,2,1,1,0,0,35,1,1
49,5,268234,9,9,1,13,3,1,2,0,0,40,1,0
33,1,202051,15,14,1,6,3,1,2,0,0,50,1,1
30,1,54334,5,5,3,4,4,1,2,0,0,40,1,1
43,4,410867,16,16,3,6,4,1,1,0,0,50,1,0
57,1,249977,12,11,1,6,3,1,2,0,0,40,1,1
37,1,286730,13,10,2,2,6,1,1,0,0,40,1,1
28,1,212563,13,10,2,8,6,5,1,0,0,25,1,1
30,1,117747,9,9,1,4,1,2,1,0,1573,35,42,1
34,5,226296,14,13,1,13,3,1,2,0,0,40,1,0
29,5,115585,13,10,3,7,4,1,2,0,0,50,1,1
48,2,191277,16,16,1,6,3,1,2,0,1902,60,1,0
37,1,202683,13,10,1,4,3,1,2,0,0,48,1,0
48,1,171095,11,12,2,5,6,1,1,0,0,40,3,1
32,4,249409,9,9,3,3,2,5,2,0,0,40,1,1
76,1,124191,15,14,1,5,3,1,2,0,0,40,1,0
44,1,198282,14,13,1,5,3,1,2,15024,0,60,1,0
47,2,149116,15,14,3,6,4,1,1,0,0,50,1,1
20,1,188300,13,10,3,1,2,1,1,0,0,40,1,1
29,1,103432,9,9,3,2,4,1,2,0,0,40,1,1
32,3,317660,9,9,1,2,3,1,2,7688,0,40,1,0
17,9,304873,6,6,3,15,2,1,1,34095,0,32,1,1
30,1,194901,7,7,3,7,2,1,2,0,0,40,1,1
31,5,189265,9,9,3,9,4,1,1,0,0,40,1,1
42,1,124692,9,9,1,7,3,1,2,0,0,40,1,1
24,1,432376,14,13,3,4,5,1,2,0,0,40,1,1
38,1,65324,10,15,1,6,3,1,2,0,0,40,1,0
56,2,335605,9,9,1,3,3,1,2,0,1887,50,5,0
28,1,377869,13,10,1,4,1,1,1,4064,0,25,1,1
36,1,102864,9,9,3,8,2,1,1,0,0,40,1,1
53,1,95647,5,5,1,7,3,1,2,0,0,50,1,1
56,3,303090,13,10,1,4,3,1,2,0,0,50,1,1
49,5,197371,12,11,1,2,3,5,2,0,0,40,1,0
55,1,247552,13,10,1,4,3,1,2,0,0,56,1,1
22,1,102632,9,9,3,2,4,1,2,0,0,41,1,1
21,1,199915,13,10,3,3,2,1,1,0,0,40,1,1
40,1,118853,14,13,1,5,3,1,2,0,0,60,1,1
30,1,77143,14,13,3,5,2,5,2,0,0,40,6,1
29,6,267989,14,13,1,6,3,1,2,0,0,50,1,0
19,1,301606,13,10,3,3,2,5,2,0,0,35,1,1
47,1,287828,14,13,1,5,1,1,1,0,0,40,1,0
20,1,111697,13,10,3,9,2,1,1,0,1719,28,1,1
31,1,114937,11,12,1,9,3,1,2,0,0,40,1,0
35,9,129305,9,9,1,15,3,1,2,0,0,40,1,1
39,1,365739,13,10,2,2,4,1,2,0,0,40,1,1
28,1,69621,11,12,3,4,4,1,1,0,0,60,1,1
24,1,43323,9,9,3,3,4,1,1,0,1762,40,1,1
38,2,120985,9,9,1,2,3,1,2,4386,0,35,1,1
37,1,254202,14,13,1,4,3,1,2,0,0,50,1,1
46,1,146195,11,12,2,1,4,5,1,0,0,36,1,1
38,4,125933,15,14,1,6,3,1,2,0,0,40,14,0
43,2,56920,9,9,1,2,3,1,2,0,0,60,1,1
27,1,163127,12,11,1,9,1,1,1,0,0,35,1,1
20,1,34310,13,10,3,4,2,1,2,0,0,20,1,1
49,1,81973,13,10,1,2,3,2,2,0,0,40,1,0
61,3,66614,9,9,1,2,3,1,2,0,0,40,1,1
27,1,232782,13,10,3,4,2,1,1,0,0,40,1,1
19,1,316868,13,10,3,3,2,1,2,0,0,30,21,1
45,1,196584,12,11,3,6,4,1,1,0,1564,40,1,0
70,1,105376,13,10,3,1,5,1,2,0,0,40,1,1
31,1,185814,9,9,3,11,6,5,1,0,0,30,1,1
22,1,175374,13,10,1,3,3,1,2,0,0,24,1,1
36,1,108293,9,9,5,3,6,1,1,0,0,24,1,1
64,1,181232,7,7,1,2,3,1,2,0,2179,40,1,1
43,9,174662,13,10,2,15,4,1,1,0,0,40,1,1
47,5,186009,13,10,2,9,6,1,1,0,0,38,21,1
34,1,198183,9,9,3,9,4,1,1,0,0,40,1,1
33,1,163003,14,13,3,5,5,2,1,0,0,40,16,1
21,1,296158,9,9,3,2,2,1,2,0,0,35,1,1
52,9,252903,9,9,2,15,4,1,2,0,0,45,1,0
48,1,187715,9,9,1,2,3,1,2,0,0,46,1,1
23,1,214542,14,13,3,7,4,1,2,0,0,40,1,1
71,2,494223,13,10,4,4,6,5,2,0,1816,2,1,1
29,1,191535,9,9,2,2,4,1,2,0,0,60,1,1
42,1,228456,14,13,4,3,5,5,2,0,0,50,1,1
68,9,38317,2,2,2,15,4,1,1,0,0,20,1,1
25,1,252752,9,9,3,3,6,1,1,0,0,40,1,1
44,3,78374,15,14,2,5,6,2,1,0,0,40,1,1
28,1,88419,9,9,3,5,4,2,1,0,0,40,3,1
45,2,201080,15,14,1,4,3,1,2,0,0,40,1,0
36,1,207157,13,10,2,3,6,1,1,0,0,40,21,1
39,4,235485,11,12,3,5,4,1,2,0,0,42,1,1
46,6,102628,15,14,5,13,6,1,2,0,0,40,1,1
18,1,25828,7,7,3,7,2,1,2,0,0,16,1,1
66,5,54826,12,11,5,6,4,1,1,0,0,20,1,1
27,1,124953,9,9,3,3,4,1,2,0,1980,40,1,1
28,6,175325,9,9,1,13,3,1,2,0,0,40,1,1
51,1,96062,13,10,1,4,3,1,2,0,1977,40,1,0
27,1,428030,14,13,3,2,4,1,2,0,0,50,1,1
28,6,149624,14,13,1,6,3,1,2,0,0,40,1,0
27,1,253814,9,9,6,4,6,1,1,0,0,25,1,1
21,1,312956,9,9,3,2,2,5,2,0,0,40,1,1
34,1,483777,9,9,3,7,4,5,2,0,0,40,1,1
18,1,183930,9,9,3,3,2,1,2,0,0,12,1,1
33,1,37274,14,13,1,6,3,1,2,0,0,65,1,1
44,5,181344,13,10,1,5,3,5,2,0,0,38,1,0
43,1,114580,13,10,2,9,4,1,1,0,0,40,1,1
30,1,633742,13,10,3,2,4,5,2,0,0,45,1,1
40,1,286370,4,4,1,8,3,1,2,0,0,40,21,0
37,4,29054,13,10,1,9,3,1,2,0,0,42,1,0
34,1,304030,9,9,1,9,3,5,2,0,0,40,1,1
41,2,143129,14,13,2,5,4,1,1,0,0,40,1,1
53,9,135105,14,13,2,15,4,1,1,0,0,50,1,1
31,1,99928,15,14,1,6,1,1,1,0,0,50,1,1
58,6,109567,16,16,1,6,3,1,2,0,0,1,1,0
38,1,155222,13,10,2,8,4,5,1,0,0,28,1,1
24,1,159567,13,10,1,8,3,1,2,0,0,40,1,1
41,5,523910,14,13,1,2,3,5,2,0,0,40,1,1
47,1,120939,13,10,1,1,3,1,2,0,0,45,1,1
41,4,130760,14,13,1,1,3,1,2,0,0,24,1,1
23,1,197387,3,3,1,11,5,1,2,0,0,40,21,1
36,1,99374,13,10,2,2,4,1,2,0,0,40,1,1
40,4,56795,15,14,3,5,4,1,1,14084,0,55,1,0
35,1,138992,15,14,1,6,5,1,2,7298,0,40,1,0
24,2,32921,9,9,3,4,4,1,2,0,0,40,1,1
26,1,397317,15,14,3,6,4,1,1,0,1876,40,1,1
19,9,170653,9,9,3,15,2,1,2,0,0,40,17,1
51,1,259323,14,13,1,5,3,1,2,0,0,50,1,0
42,5,254817,13,10,3,6,4,1,1,0,1340,40,1,1
37,6,48211,9,9,2,9,6,1,1,0,0,35,1,1
18,1,140164,7,7,3,4,2,1,1,0,0,40,1,1
36,1,128757,14,13,1,3,3,5,2,7298,0,36,1,0
35,1,36270,9,9,2,2,4,1,2,0,0,60,1,1
58,3,210563,9,9,1,4,1,1,1,15024,0,35,1,0
17,1,65368,7,7,3,4,2,1,1,0,0,12,1,1
44,5,160943,9,9,1,11,3,5,2,0,0,40,1,1
37,1,208358,9,9,1,2,3,1,2,0,0,40,1,0
35,1,153790,13,10,3,4,4,3,1,0,0,40,1,1
60,1,85815,9,9,1,2,3,2,2,0,0,40,1,1
54,3,125417,4,4,1,8,3,1,2,0,0,40,1,0
37,1,635913,14,13,3,5,4,5,2,0,0,60,1,0
50,1,313321,11,12,2,4,4,1,1,0,0,40,1,1
38,1,182609,14,13,1,4,3,1,2,0,0,50,18,1
45,1,109434,14,13,1,6,3,1,2,0,0,55,1,1
25,1,255004,6,6,3,2,4,1,2,0,0,40,1,1
31,1,197860,13,10,1,7,3,1,2,0,0,40,1,1
64,9,187656,2,2,2,15,4,1,2,0,0,40,1,1
90,1,51744,9,9,3,3,4,5,2,0,2206,40,1,1
54,1,176681,9,9,1,9,3,5,2,0,0,20,1,1
53,5,140359,1,1,3,8,4,1,1,0,0,35,1,1
18,1,243313,9,9,3,4,2,1,1,0,0,40,1,1
60,9,24215,6,6,2,15,4,3,1,0,0,10,1,1
66,2,167687,9,9,1,10,3,1,2,1409,0,50,1,1
75,1,314209,12,11,5,9,4,1,1,0,0,20,30,1
65,1,176796,9,9,2,9,4,1,1,0,0,40,1,1
35,1,538583,7,7,4,11,4,5,2,3674,0,40,1,1
41,1,130408,9,9,2,4,6,5,1,0,0,38,1,1
25,1,159732,13,10,3,9,4,1,2,0,0,42,1,1
33,1,110978,13,10,2,2,5,4,1,0,0,40,1,1
28,1,76714,10,15,3,6,4,1,2,0,0,55,1,0
59,6,268700,9,9,1,3,3,1,2,0,0,40,1,1
40,6,170525,13,10,3,9,4,1,1,0,0,38,1,1
41,1,180138,14,13,1,5,3,1,2,0,0,50,14,0
38,5,115076,15,14,1,5,3,1,2,0,0,70,1,0
23,1,115458,9,9,3,11,2,1,2,0,0,40,1,1
40,1,347890,14,13,1,6,3,1,2,0,0,40,1,0
41,2,196001,9,9,1,3,1,1,1,0,0,20,1,1
24,6,273905,11,12,1,13,3,1,2,0,0,50,1,1
20,9,119156,13,10,3,15,2,1,2,0,0,20,1,1
38,1,179488,13,10,2,2,4,1,2,0,1741,40,1,1
56,1,203580,9,9,1,9,3,1,2,0,0,35,42,1
58,1,236596,9,9,1,9,3,1,2,0,0,45,1,0
32,1,183916,9,9,3,3,4,1,1,0,0,34,1,1
40,1,207578,11,12,1,1,3,1,2,0,1977,60,1,0
45,1,153141,9,9,1,9,3,1,2,0,0,40,42,1
41,1,112763,10,15,1,6,1,1,1,0,0,40,1,0
42,1,390781,14,13,1,9,1,5,1,0,0,40,1,1
59,5,171328,6,6,5,3,6,5,1,0,0,30,1,1
19,5,27382,13,10,3,9,2,1,2,0,0,40,1,1
58,1,259014,13,10,3,11,4,1,2,0,0,20,1,1
42,2,303044,9,9,1,10,3,2,2,0,0,40,2,0
20,1,117789,9,9,3,3,2,1,1,0,0,40,1,1
32,1,172579,9,9,4,3,4,1,1,0,0,30,1,1
45,1,187666,12,11,5,5,4,1,1,0,0,45,1,1
50,1,204518,4,4,2,2,4,1,2,0,0,40,1,1
36,1,150042,14,13,2,6,2,1,1,0,0,40,1,1
45,1,98092,9,9,1,4,3,1,2,0,0,60,1,1
17,1,245918,7,7,3,3,2,1,2,0,0,12,1,1
59,1,146013,13,10,1,4,3,1,2,4064,0,40,1,1
26,1,378322,7,7,1,2,3,1,2,0,0,40,1,1
37,3,257295,13,10,1,5,3,2,2,0,0,75,35,0
19,9,218956,13,10,3,15,2,1,2,0,0,24,5,1
64,1,21174,9,9,1,5,3,1,2,0,0,40,1,0
33,1,185480,14,13,3,6,4,1,1,0,0,45,1,1
33,1,222205,9,9,1,2,1,1,1,0,0,40,1,0
61,1,69867,9,9,1,5,3,1,2,0,0,40,1,0
17,1,191260,5,5,3,3,2,1,2,1055,0,24,1,1
50,2,30653,15,14,1,10,3,1,2,2407,0,98,1,1
27,5,209109,15,14,3,6,2,1,2,0,0,35,1,1
30,1,70377,9,9,2,6,2,1,1,0,0,40,1,1
43,1,477983,9,9,1,7,3,5,2,0,0,40,1,1
44,1,170924,13,10,1,2,3,1,2,7298,0,40,1,0
35,1,190174,13,10,3,5,4,1,1,0,0,40,1,1
25,1,193787,13,10,3,1,2,1,1,0,0,40,1,1
24,1,279472,13,10,1,8,1,1,1,7298,0,48,1,0
22,1,34918,14,13,3,6,4,1,1,0,0,15,6,1
42,5,97688,13,10,1,2,3,1,2,5178,0,40,1,0
34,1,175413,11,12,2,4,6,5,1,0,0,45,1,1
60,1,173960,14,13,2,6,4,1,1,0,0,42,1,1
21,1,205759,9,9,3,7,2,1,2,0,0,40,1,1
57,4,425161,15,14,1,4,3,1,2,15024,0,40,1,0
41,1,220531,10,15,1,6,3,1,2,0,0,60,1,0
50,1,176609,13,10,2,3,4,1,2,0,0,45,1,1
25,1,371987,14,13,3,5,4,1,1,0,0,40,1,1
50,1,193884,4,4,1,2,3,1,2,0,0,40,27,1
36,1,200352,14,13,1,6,3,1,2,0,0,45,1,1
31,1,127595,9,9,2,6,4,1,1,0,0,40,1,1
29,5,220419,14,13,3,13,4,1,2,0,0,56,1,1
21,1,231931,13,10,3,4,2,1,2,0,0,45,1,1
27,1,248402,14,13,3,1,6,5,1,0,0,40,1,1
65,1,111095,9,9,1,11,3,1,2,0,0,16,1,1
37,3,57424,14,13,2,4,4,1,1,0,0,60,1,1
39,9,157443,15,14,1,15,1,2,1,3464,0,40,42,1
24,1,278130,9,9,3,2,2,1,2,0,0,40,1,1
38,1,169469,9,9,2,4,4,1,2,0,0,80,1,1
48,1,146268,14,13,1,9,3,1,2,7688,0,40,1,0
21,1,153718,13,10,3,3,4,2,1,0,0,25,1,1
31,1,217460,9,9,1,11,3,1,2,0,0,45,1,0
55,1,238638,9,9,1,4,3,1,2,4386,0,40,1,0
24,1,303296,13,10,1,9,1,2,1,0,0,40,26,1
43,1,173321,9,9,2,9,4,1,1,0,0,40,1,1
26,1,193945,11,12,3,1,4,1,2,0,0,45,1,1
46,1,83082,11,12,3,6,4,1,1,0,0,33,1,1
35,1,193815,11,12,1,9,3,1,2,0,0,40,1,0
41,3,34987,13,10,1,10,3,1,2,0,0,54,1,0
26,1,59306,14,13,3,4,4,1,2,0,0,40,1,1
34,1,142897,15,14,1,5,3,2,2,7298,0,35,28,0
19,9,860348,13,10,3,15,2,5,1,0,0,25,1,1
36,2,205607,14,13,2,6,4,5,1,0,0,40,1,0
22,1,199698,13,10,3,4,2,1,2,0,0,15,1,1
24,1,191954,13,10,3,8,4,1,2,0,0,40,1,1
77,2,138714,13,10,1,4,3,1,2,0,0,40,1,1
22,1,399087,3,3,1,8,5,1,1,0,0,40,21,1
29,1,423158,13,10,3,1,4,1,1,0,0,40,1,1
62,1,159841,9,9,5,3,4,1,1,0,0,24,1,1
39,2,174308,9,9,1,5,3,1,2,0,0,40,1,1
43,1,50356,13,10,1,2,3,1,2,0,1485,50,1,1
35,1,186110,9,9,2,11,4,1,2,0,0,45,1,1
29,1,200381,7,7,3,5,4,1,1,0,0,40,1,1
76,2,174309,15,14,1,2,3,1,2,0,0,10,1,1
63,2,78383,9,9,1,10,3,1,2,0,0,45,1,1
23,9,211601,12,11,3,15,2,5,1,0,0,15,1,1
43,1,187728,13,10,1,6,1,1,1,0,1887,50,1,0
58,2,321171,9,9,1,7,3,1,2,0,0,40,1,1
66,1,127921,9,9,3,11,4,1,2,2050,0,55,1,1
41,1,206565,13,10,3,2,4,5,2,0,0,45,1,1
26,1,224563,14,13,3,9,4,1,2,0,0,40,1,1
47,1,178686,12,11,3,3,4,1,2,0,0,40,1,1
55,5,98545,6,6,1,9,3,1,2,0,0,40,1,1
53,1,242606,9,9,1,11,3,1,2,0,0,40,1,1
17,1,270942,3,3,3,3,5,1,2,0,0,48,21,1
30,1,94235,9,9,3,2,5,1,2,0,0,40,1,1
49,1,71195,15,14,3,6,4,1,2,0,0,60,1,1
19,1,104112,9,9,3,4,6,5,2,0,0,30,29,1
45,1,261192,9,9,1,3,3,5,2,0,0,40,1,1
26,1,94936,11,12,3,4,4,1,2,0,0,40,1,1
38,1,296478,12,11,1,2,3,1,2,7298,0,40,1,0
36,6,119272,9,9,1,13,3,1,2,7298,0,40,1,0
33,1,85043,9,9,3,10,4,1,2,0,0,20,1,1
22,6,293364,13,10,3,13,2,5,1,0,0,40,1,1
43,2,241895,14,13,3,4,4,1,2,0,0,42,1,1
67,9,36135,7,7,1,15,3,1,2,0,0,8,1,1
30,9,151989,12,11,2,15,6,1,1,0,0,40,1,1
56,1,101128,11,12,6,3,4,1,2,0,0,25,14,1
31,1,156464,14,13,3,6,2,1,2,0,0,25,1,1
33,1,117963,14,13,1,5,3,1,2,0,0,40,1,0
26,1,192262,9,9,1,3,3,1,2,0,0,40,1,1
33,1,111363,14,13,1,5,3,1,2,0,0,40,1,0
46,5,329752,7,7,1,11,3,1,2,0,0,30,1,1
59,9,372020,14,13,1,15,3,1,2,0,0,40,1,0
38,4,95432,9,9,1,9,3,1,2,0,0,40,1,0
65,1,161400,7,7,5,3,6,4,2,0,0,40,1,1
40,1,96129,12,11,1,1,3,1,2,0,0,40,1,0
42,1,111949,9,9,1,9,1,1,1,0,0,35,1,1
26,2,117125,5,5,1,2,3,1,2,0,0,40,22,1
36,1,348022,6,6,1,3,1,1,1,0,0,24,1,1
62,1,270092,15,14,1,6,3,1,2,0,0,40,1,0
43,1,180609,14,13,1,11,3,1,2,0,0,45,1,1
43,1,174575,14,13,2,5,4,1,2,0,1564,45,1,0
22,1,410439,9,9,6,4,4,1,2,0,0,55,1,1
28,1,92262,9,9,1,2,3,1,2,0,0,40,1,1
56,2,183081,13,10,1,4,3,1,2,0,0,45,1,1
22,1,362589,11,12,3,4,4,1,1,0,0,15,1,1
57,1,212448,14,13,2,5,4,1,1,0,0,45,1,0
39,1,481060,9,9,2,4,6,1,1,0,0,40,1,1
26,4,185885,13,10,3,9,6,1,1,0,0,15,1,1
17,1,89821,7,7,3,3,2,1,2,0,0,10,1,1
40,6,184018,12,11,1,8,3,1,2,0,0,38,1,0
45,1,256649,9,9,1,8,3,5,2,0,0,40,1,1
44,1,160323,9,9,3,2,4,5,2,0,0,40,1,1
20,5,350845,13,10,3,9,2,1,1,0,0,10,1,1
33,1,267404,9,9,1,2,1,1,1,0,0,40,1,1
23,1,35633,13,10,3,4,4,1,2,0,0,40,1,1
46,2,80914,15,14,2,5,4,1,2,0,0,30,1,1
38,1,172927,9,9,1,4,3,1,2,0,0,50,1,1
54,1,174319,9,9,2,11,4,1,2,0,0,40,1,1
46,1,214955,3,3,2,2,4,1,1,0,2339,45,1,1
25,1,344991,13,10,1,2,3,1,2,0,0,40,1,1
46,1,108699,13,10,2,4,4,1,1,0,0,40,1,1
36,5,117312,13,10,1,11,1,1,1,0,0,40,1,1
23,1,396099,9,9,3,3,4,1,1,0,0,25,1,1
29,1,134152,9,9,4,8,4,1,2,0,0,40,1,1
44,1,162028,13,10,1,9,1,1,1,0,2415,6,1,0
19,1,25429,13,10,3,9,2,1,1,0,0,16,1,1
19,1,232392,9,9,3,3,5,1,1,0,0,40,1,1
35,1,220098,9,9,1,3,1,1,1,0,0,40,1,0
27,1,301302,14,13,3,2,4,1,2,0,0,50,1,1
46,2,277946,11,12,4,2,4,1,2,0,0,40,1,1
34,6,98101,14,13,1,5,3,1,2,7688,0,45,42,0
34,1,196164,9,9,3,3,4,1,1,0,0,35,1,1
44,1,115562,13,10,1,1,3,1,2,0,0,40,1,1
45,1,96975,13,10,2,7,6,1,1,0,0,40,1,1
20,9,137300,9,9,3,15,5,1,1,0,0,35,1,1
25,1,86872,14,13,1,5,3,1,2,0,0,55,1,0
52,3,132178,14,13,1,5,3,1,2,0,0,50,1,0
20,1,416103,13,10,3,7,2,1,2,0,0,40,1,1
28,1,108574,13,10,3,3,4,1,1,0,0,40,1,1
50,6,288353,14,13,1,13,3,1,2,0,0,40,1,0
34,1,227689,12,11,2,1,4,1,1,0,0,64,1,1
28,1,166481,4,4,1,7,3,4,2,0,2179,40,4,1
41,1,445382,15,14,1,5,3,1,2,0,1977,65,1,0
28,1,110145,9,9,1,9,3,1,2,0,0,40,1,1
46,2,317253,9,9,1,2,3,1,2,0,0,25,1,1
28,9,123147,13,10,1,15,1,1,1,0,1887,40,1,0
32,1,364657,13,10,1,5,3,1,2,0,0,50,1,1
41,5,42346,13,10,2,3,4,5,1,0,0,24,1,1
24,1,241951,9,9,3,7,6,5,1,0,0,40,1,1
33,1,118500,13,10,2,5,6,1,1,0,0,40,1,1
46,1,188386,16,16,1,5,3,1,2,15024,0,60,1,0
31,6,1033222,13,10,1,8,3,1,2,0,0,40,1,1
35,1,92440,8,8,2,2,4,1,2,0,0,50,1,0
52,1,190762,2,2,1,8,3,1,2,0,0,40,21,1
30,1,426017,7,7,3,3,2,1,1,0,0,19,1,1
34,5,243867,7,7,4,8,4,5,2,0,0,40,1,1
34,6,240283,9,9,2,11,6,1,1,0,0,40,1,1
20,1,61777,13,10,1,4,3,1,2,0,0,30,1,1
17,1,175024,7,7,3,7,2,1,2,2176,0,18,1,1
32,6,92003,14,13,1,5,1,1,1,0,0,40,1,0
29,1,188401,9,9,2,10,4,1,2,0,0,40,1,1
33,1,228528,6,6,3,2,6,1,1,0,0,35,1,1
25,1,133373,9,9,1,11,3,1,2,0,0,60,1,1
36,4,255191,15,14,3,6,4,1,2,0,1408,40,1,1
23,1,204653,9,9,3,7,4,1,2,0,0,72,25,1
63,3,222289,9,9,1,5,3,1,2,0,0,40,1,0
47,5,287480,15,14,1,6,3,1,2,0,0,40,1,1
80,9,107762,9,9,5,15,4,1,2,0,0,24,1,1
17,9,202521,7,7,3,15,2,1,2,0,0,40,1,1
40,2,204116,14,13,6,6,4,1,1,2174,0,40,1,1
30,1,29662,11,12,1,3,1,1,1,0,0,25,1,0
27,1,116358,13,10,3,2,2,2,2,0,1980,40,16,1
33,1,208405,15,14,1,6,3,1,2,0,0,50,1,0
34,5,284843,9,9,3,10,4,5,2,594,0,60,1,1
34,5,117018,13,10,3,13,4,1,1,0,0,40,1,1
23,1,81281,13,10,1,9,3,1,2,0,0,40,1,1
42,5,340148,13,10,1,9,1,1,1,0,0,40,1,1
29,1,363425,14,13,3,6,4,1,2,0,0,40,1,1
45,1,45857,9,9,2,9,4,1,1,0,0,28,1,1
24,4,191073,9,9,3,14,2,1,2,0,0,40,1,1
44,1,116632,13,10,1,6,3,1,2,0,0,40,1,0
27,1,405855,5,5,3,2,5,1,2,0,0,40,21,1
